 val,Flawlesss,Good,Poor,Category,Product model,Weight lb,Year,Space,Network,Color,Generation,Screen Size,Retina Display ,Memory,Hard Disk,Processor
iPad 3 - 4G LTE AT&T 32GB White,264,242,110,iPad,iPad 3,1,,32GB,4G LTE - AT&T,White,,,,,,
iPad 3 - 4G LTE AT&T 32GB Black,264,242,110,iPad,iPad 3,1,,32GB,4G LTE - AT&T,Black,,,,,,
iPad 3 - 4G LTE AT&T 16GB White,220,193.6,88,iPad,iPad 3,1,,16GB,4G LTE - AT&T,White,,,,,,
iPad 3 - 4G LTE AT&T 16GB Black,220,193.6,88,iPad,iPad 3,1,,16GB,4G LTE - AT&T,Black,,,,,,
,,,,,,,,,,,,,,,,
iPad 3 WiFi Only 64GB White,264,242,118.8,iPad,iPad 3,1,,64GB,WiFi Only,White,,,,,,
iPad 3 WiFi Only 64GB Black,264,242,118.8,iPad,iPad 3,1,,64GB,WiFi Only,Black,,,,,,
iPad 3 WiFi Only 32GB White,228.8,198,105.6,iPad,iPad 3,1,,32GB,WiFi Only,White,,,,,,
iPad 3 WiFi Only 32GB Black,228.8,198,105.6,iPad,iPad 3,1,,32GB,WiFi Only,Black,,,,,,
iPad 3 WiFi Only 16GB White,198,176,88,iPad,iPad 3,1,,16GB,WiFi Only,White,,,,,,
iPad 3 WiFi Only 16GB Black,198,176,88,iPad,iPad 3,1,,16GB,WiFi Only,Black,,,,,,
,,,,,,,,,,,,,,,,
iPad 2 - 3G Verizon 64GB White,220,176,88,iPad,iPad 2,1,,64GB,3G - Verizon,White,,,,,,
iPad 2 - 3G Verizon 64GB Black,220,176,88,iPad,iPad 2,1,,64GB,3G - Verizon,Black,,,,,,
iPad 2 - 3G Verizon 32GB White,193.6,158.4,79.2,iPad,iPad 2,1,,32GB,3G - Verizon,White,,,,,,
iPad 2 - 3G Verizon 32GB Black,193.6,158.4,79.2,iPad,iPad 2,1,,32GB,3G - Verizon,Black,,,,,,
iPad 2 - 3G Verizon 16GB White,167.2,132,70.4,iPad,iPad 2,1,,16GB,3G - Verizon,White,,,,,,
iPad 2 - 3G Verizon 16GB Black,167.2,132,70.4,iPad,iPad 2,1,,16GB,3G - Verizon,Black,,,,,,
,,,,,,,,,,,,,,,,
iPad 2 - 3G AT&T 64GB White,220,176,88,iPad,iPad 2,1,,64GB,3G - AT&T,White,,,,,,
iPad 2 - 3G AT&T 64GB Black,220,176,88,iPad,iPad 2,1,,64GB,3G - AT&T,Black,,,,,,
